"Element","Actual Structure","DFT Stable Structure","DFT Matches Actual","E_BCC","E_FCC","E_HCP","Delta_E","Has Transition","Transition Temp C","Before","After"
"K","BCC","HCP","False","0.000309365000000117","0.000478855000000111","5.89125000001189e-05","0.00025045249999999813","False","","",""
"Ag","FCC","HCP","False","0.025423042499999937","0.000495352499999768","0.0","0.000495352499999768","False","","",""
"Sr","FCC","FCC","True","0.00456654999999984","0.0","0.00145203999999999","0.00145203999999999","True","547.0","FCC","BCC"
"Li","BCC","FCC","False","0.00337198999999999","0.00102457","0.00452938999999986","0.00234741999999999","False","","",""
"Ca","FCC","FCC","True","0.0146880999999999","0.0","0.00260940499999984","0.00260940499999984","True","450.0","FCC","BCC"
"Na","BCC","HCP","False","0.00305485000000005","0.00276070000000006","0.0","0.00276070000000006","False","","",""
"Au","FCC","FCC","True","0.018263720000000205","0.0","0.00359856250000012","0.00359856250000012","False","","",""
"Cu","FCC","FCC","True","0.0351119","0.0","0.00560411000000016","0.00560411000000016","False","","",""
"Ni","FCC","FCC","True","0.0907972999999993","0.0","0.0100222924999995","0.0100222924999995","False","","",""
"Mg","HCP","HCP","True","0.0288302008333299","0.0130016908333299","1.30008333298903e-05","0.01298869000000001","False","","",""
"Al","FCC","FCC","True","0.09554854999999973","0.000788779999999711","0.0142352199999998","0.013446440000000089","False","","",""
"Pd","FCC","FCC","True","0.040596190000000476","0.0","0.0140613325000007","0.0140613325000007","False","","",""
"Ba","BCC","BCC","True","0.0","0.01778743","0.01407768","0.01407768","True","727.0","BCC","HCP"
"Co","HCP","HCP","True","0.10104314999999975","0.0","-0.016891099999999604","0.016891099999999604","True","422.0","HCP","FCC"
"Y","HCP","HCP","True","0.126662035","0.0241223549999994","0.0","0.0241223549999994","False","","",""
"Zn","HCP","HCP","True","0.0833459999999999","0.02426913","0.0","0.02426913","False","","",""
"Pt","FCC","FCC","True","0.09484123000000011","0.0","0.0316223275","0.0316223275","False","","",""
"Zr","HCP","HCP","True","0.0796308700000008","0.0396869400000011","0.0","0.0396869400000011","True","863.0","HCP","BCC"
"Sc","HCP","HCP","True","0.107883835","0.0504654650000003","0.0","0.0504654650000003","False","","",""
"Ti","HCP","HCP","True","0.11433330666667","0.0700547166666698","0.0135421754166698","0.056512541250000006","True","882.0","HCP","BCC"
"Hf","HCP","HCP","True","0.179675254999999","0.0717406650000001","0.0","0.0717406650000001","True","1743.0","HCP","BCC"
"Fe","BCC","BCC","True","0.0","0.161451849999999","0.0864137599999992","0.0864137599999992","True","912.0","BCC","FCC"
"Ta","BCC","BCC","True","0.0","0.24225738","0.10049895083333205","0.10049895083333205","False","","",""
"V","BCC","BCC","True","0.0","0.25849391","0.10136775166666823","0.10136775166666823","False","","",""
"Cr","BCC","BCC","True","0.0","0.39359574999999936","0.24864954833333286","0.24864954833333286","False","","",""
"Nb","BCC","BCC","True","0.0","0.321764889999999","0.291389604999999","0.291389604999999","False","","",""
"Mo","BCC","BCC","True","0.0","0.415565020000001","0.4208136275000012","0.415565020000001","False","","",""
"W","BCC","BCC","True","0.0","0.478504429999999","0.4521042587499995","0.4521042587499995","False","","",""
